code,cprompt,crawresp,task_id,text,model,error,prompt
"def find_single_element(nums):
    count_dict = {}
    for num in nums:
        if num in count_dict:
            count_dict[num] += 1
        else:
            count_dict[num] = 1
    for key, value in count_dict.items():
        if value == 1:
            return key","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the element that appears only once in a sorted array.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def find_single_element(nums):\\n    count_dict = {}\\n    for num in nums:\\n        if num in count_dict:\\n            count_dict[num] += 1\\n        else:\\n            count_dict[num] = 1\\n    for key, value in count_dict.items():\\n        if value == 1:\\n            return key\""\n}""
  }
]","{
    ""code"": ""def find_single_element(nums):\n    count_dict = {}\n    for num in nums:\n        if num in count_dict:\n            count_dict[num] += 1\n        else:\n            count_dict[num] = 1\n    for key, value in count_dict.items():\n        if value == 1:\n            return key""
}",119,Write a python function to find the element that appears only once in a sorted array.,Llama-3.3-70B-Instruct,,
"def max_absolute_product(pairs):
    if not pairs:
        return None
    max_product = float('-inf')
    for pair in pairs:
        if len(pair) != 2:
            raise ValueError('Each pair must contain exactly two numbers')
        product = abs(pair[0] * pair[1])
        max_product = max(max_product, product)
    return max_product","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the maximum absolute product between numbers in pairs of tuples within a given list.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def max_absolute_product(pairs):\\n    if not pairs:\\n        return None\\n    max_product = float('-inf')\\n    for pair in pairs:\\n        if len(pair) != 2:\\n            raise ValueError('Each pair must contain exactly two numbers')\\n        product = abs(pair[0] * pair[1])\\n        max_product = max(max_product, product)\\n    return max_product\""\n}""
  }
]","{
    ""code"": ""def max_absolute_product(pairs):\n    if not pairs:\n        return None\n    max_product = float('-inf')\n    for pair in pairs:\n        if len(pair) != 2:\n            raise ValueError('Each pair must contain exactly two numbers')\n        product = abs(pair[0] * pair[1])\n        max_product = max(max_product, product)\n    return max_product""
}",120,Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.,Llama-3.3-70B-Instruct,,
"def sum_amicable_numbers(n):
    def sum_of_divisors(num):
        divisors = [i for i in range(1, num) if num % i == 0]
        return sum(divisors)

    amicable_numbers = set()
    for i in range(1, n + 1):
        j = sum_of_divisors(i)
        if i != j and sum_of_divisors(j) == i:
            amicable_numbers.add(i)
            amicable_numbers.add(j)

    return sum(amicable_numbers)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to sum all amicable numbers from 1 to a specified number.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def sum_amicable_numbers(n):\\n    def sum_of_divisors(num):\\n        divisors = [i for i in range(1, num) if num % i == 0]\\n        return sum(divisors)\\n\\n    amicable_numbers = set()\\n    for i in range(1, n + 1):\\n        j = sum_of_divisors(i)\\n        if i != j and sum_of_divisors(j) == i:\\n            amicable_numbers.add(i)\\n            amicable_numbers.add(j)\\n\\n    return sum(amicable_numbers)\""\n}""
  }
]","{
    ""code"": ""def sum_amicable_numbers(n):\n    def sum_of_divisors(num):\n        divisors = [i for i in range(1, num) if num % i == 0]\n        return sum(divisors)\n\n    amicable_numbers = set()\n    for i in range(1, n + 1):\n        j = sum_of_divisors(i)\n        if i != j and sum_of_divisors(j) == i:\n            amicable_numbers.add(i)\n            amicable_numbers.add(j)\n\n    return sum(amicable_numbers)""
}",123,Write a function to sum all amicable numbers from 1 to a specified number.,Llama-3.3-70B-Instruct,,
"import cmath

def get_angle(complex_number):
    if complex_number == 0:
        return 0
    return cmath.phase(complex_number)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to get the angle of a complex number.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""import cmath\\n\\ndef get_angle(complex_number):\\n    if complex_number == 0:\\n        return 0\\n    return cmath.phase(complex_number)\""\n}""
  }
]","{
    ""code"": ""import cmath\n\ndef get_angle(complex_number):\n    if complex_number == 0:\n        return 0\n    return cmath.phase(complex_number)""
}",124,Write a function to get the angle of a complex number.,Llama-3.3-70B-Instruct,,
"def max_diff_zeros_ones(binary_string: str) -> int:
    max_diff = 0
    for i in range(len(binary_string)):
        zeros = 0
        ones = 0
        for j in range(i, len(binary_string)):
            if binary_string[j] == '0':
                zeros += 1
            else:
                ones += 1
            max_diff = max(max_diff, abs(zeros - ones))
    return max_diff","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def max_diff_zeros_ones(binary_string: str) -> int:\\n    max_diff = 0\\n    for i in range(len(binary_string)):\\n        zeros = 0\\n        ones = 0\\n        for j in range(i, len(binary_string)):\\n            if binary_string[j] == '0':\\n                zeros += 1\\n            else:\\n                ones += 1\\n            max_diff = max(max_diff, abs(zeros - ones))\\n    return max_diff\""}""
  }
]","{""code"": ""def max_diff_zeros_ones(binary_string: str) -> int:\n    max_diff = 0\n    for i in range(len(binary_string)):\n        zeros = 0\n        ones = 0\n        for j in range(i, len(binary_string)):\n            if binary_string[j] == '0':\n                zeros += 1\n            else:\n                ones += 1\n            max_diff = max(max_diff, abs(zeros - ones))\n    return max_diff""}",125,Write a function to find the maximum difference between the number of 0s and number of 1s in any sub-string of the given binary string.,Llama-3.3-70B-Instruct,,
,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the sum of common divisors of two given numbers.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""\ndef sum_of_common_divisors(a, b):\n    def get_divisors(n):\n        divisors = set()\n        for i in range(1, int(n**0.5) + 1):\n            if n % i == 0:\n                divisors.add(i)\n                divisors.add(n // i)\n        return divisors\n\n    divisors_a = get_divisors(a)\n    divisors_b = get_divisors(b)\n    common_divisors = divisors_a & divisors_b\n    return sum(common_divisors)\n\""\n}""
  }
]","{
    ""code"": ""
def sum_of_common_divisors(a, b):
    def get_divisors(n):
        divisors = set()
        for i in range(1, int(n**0.5) + 1):
            if n % i == 0:
                divisors.add(i)
                divisors.add(n // i)
        return divisors

    divisors_a = get_divisors(a)
    divisors_b = get_divisors(b)
    common_divisors = divisors_a & divisors_b
    return sum(common_divisors)
""
}",126,,Llama-3.3-70B-Instruct,ERROR PROCESSING LLM OUTPUT: Invalid JSON FORMAT,Write a python function to find the sum of common divisors of two given numbers.
"def multiply_integers(a: int, b: int) -> int:
    return a * b","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to multiply two integers.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def multiply_integers(a: int, b: int) -> int:\\n    return a * b\""\n}""
  }
]","{
    ""code"": ""def multiply_integers(a: int, b: int) -> int:\n    return a * b""
}",127,Write a function to multiply two integers.,Llama-3.3-70B-Instruct,,
"def find_longer_words(word_list, n):
    return [word for word in word_list if len(word) > n]","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find words that are longer than n characters from a given list of words.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def find_longer_words(word_list, n):\\n    return [word for word in word_list if len(word) > n]\""\n}""
  }
]","{
    ""code"": ""def find_longer_words(word_list, n):\n    return [word for word in word_list if len(word) > n]""
}",128,Write a function to find words that are longer than n characters from a given list of words.,Llama-3.3-70B-Instruct,,
,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to calculate whether the matrix is a magic square.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""\ndef is_magic_square(matrix):\n    if not matrix or not all(len(row) == len(matrix) for row in matrix):\n        return False\n\n    n = len(matrix)\n    expected_sum = sum(matrix[0])\n\n    for row in matrix:\n        if sum(row) != expected_sum:\n            return False\n\n    for col in range(n):\n        if sum(matrix[row][col] for row in range(n)) != expected_sum:\n            return False\n\n    if sum(matrix[i][i] for i in range(n)) != expected_sum:\n        return False\n\n    if sum(matrix[i][n - i - 1] for i in range(n)) != expected_sum:\n        return False\n\n    return True\n\""\n}""
  }
]","{
    ""code"": ""
def is_magic_square(matrix):
    if not matrix or not all(len(row) == len(matrix) for row in matrix):
        return False

    n = len(matrix)
    expected_sum = sum(matrix[0])

    for row in matrix:
        if sum(row) != expected_sum:
            return False

    for col in range(n):
        if sum(matrix[row][col] for row in range(n)) != expected_sum:
            return False

    if sum(matrix[i][i] for i in range(n)) != expected_sum:
        return False

    if sum(matrix[i][n - i - 1] for i in range(n)) != expected_sum:
        return False

    return True
""
}",129,,Llama-3.3-70B-Instruct,ERROR PROCESSING LLM OUTPUT: Invalid JSON FORMAT,Write a function to calculate whether the matrix is a magic square.
"from collections import Counter

def find_max_frequency_item(lst):
    if not lst:
        return None
    freq = Counter(lst)
    max_freq = max(freq.values())
    max_freq_items = [item for item, count in freq.items() if count == max_freq]
    return {'item': max_freq_items, 'frequency': max_freq}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the item with maximum frequency in a given list.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""from collections import Counter\\n\\ndef find_max_frequency_item(lst):\\n    if not lst:\\n        return None\\n    freq = Counter(lst)\\n    max_freq = max(freq.values())\\n    max_freq_items = [item for item, count in freq.items() if count == max_freq]\\n    return {'item': max_freq_items, 'frequency': max_freq}\""\n}""
  }
]","{
    ""code"": ""from collections import Counter\n\ndef find_max_frequency_item(lst):\n    if not lst:\n        return None\n    freq = Counter(lst)\n    max_freq = max(freq.values())\n    max_freq_items = [item for item, count in freq.items() if count == max_freq]\n    return {'item': max_freq_items, 'frequency': max_freq}""
}",130,Write a function to find the item with maximum frequency in a given list.,Llama-3.3-70B-Instruct,,
"def reverse_vowels(s: str) -> str:
    vowels = 'aeiouAEIOU'
    s = list(s)
    left, right = 0, len(s) - 1
    while left < right:
        if s[left] not in vowels:
            left += 1
        elif s[right] not in vowels:
            right -= 1
        else:
            s[left], s[right] = s[right], s[left]
            left, right = left + 1, right - 1
    return ''.join(s)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to reverse only the vowels of a given string (where y is not a vowel).\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def reverse_vowels(s: str) -> str:\\n    vowels = 'aeiouAEIOU'\\n    s = list(s)\\n    left, right = 0, len(s) - 1\\n    while left < right:\\n        if s[left] not in vowels:\\n            left += 1\\n        elif s[right] not in vowels:\\n            right -= 1\\n        else:\\n            s[left], s[right] = s[right], s[left]\\n            left, right = left + 1, right - 1\\n    return ''.join(s)\"" }""
  }
]","{""code"": ""def reverse_vowels(s: str) -> str:\n    vowels = 'aeiouAEIOU'\n    s = list(s)\n    left, right = 0, len(s) - 1\n    while left < right:\n        if s[left] not in vowels:\n            left += 1\n        elif s[right] not in vowels:\n            right -= 1\n        else:\n            s[left], s[right] = s[right], s[left]\n            left, right = left + 1, right - 1\n    return ''.join(s)"" }",131,Write a python function to reverse only the vowels of a given string (where y is not a vowel).,Llama-3.3-70B-Instruct,,
"def tuple_to_string(input_tuple):
    if not isinstance(input_tuple, tuple):
        raise TypeError('Input must be a tuple')
    return str(input_tuple)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to convert a tuple to a string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def tuple_to_string(input_tuple):\\n    if not isinstance(input_tuple, tuple):\\n        raise TypeError('Input must be a tuple')\\n    return str(input_tuple)\""\n}""
  }
]","{
    ""code"": ""def tuple_to_string(input_tuple):\n    if not isinstance(input_tuple, tuple):\n        raise TypeError('Input must be a tuple')\n    return str(input_tuple)""
}",132,Write a function to convert a tuple to a string.,Llama-3.3-70B-Instruct,,
"def sum_negative_numbers(numbers):
    return sum(num for num in numbers if num < 0)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to calculate the sum of the negative numbers of a given list of numbers.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def sum_negative_numbers(numbers):\\n    return sum(num for num in numbers if num < 0)\"" }""
  }
]","{""code"": ""def sum_negative_numbers(numbers):\n    return sum(num for num in numbers if num < 0)"" }",133,Write a function to calculate the sum of the negative numbers of a given list of numbers.,Llama-3.3-70B-Instruct,,
"def nth_hexagonal_number(n: int) -> int:
    if not isinstance(n, int) or n < 1:
        raise ValueError('Input must be a positive integer')
    return n * (2 * n - 1)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the nth hexagonal number.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def nth_hexagonal_number(n: int) -> int:\\n    if not isinstance(n, int) or n < 1:\\n        raise ValueError('Input must be a positive integer')\\n    return n * (2 * n - 1)\""}""
  }
]","{""code"": ""def nth_hexagonal_number(n: int) -> int:\n    if not isinstance(n, int) or n < 1:\n        raise ValueError('Input must be a positive integer')\n    return n * (2 * n - 1)""}",135,Write a function to find the nth hexagonal number.,Llama-3.3-70B-Instruct,,
"def find_zero_to_nonzero_ratio(arr):
    if not arr:
        return None
    zeroes = sum(1 for x in arr if x == 0)
    non_zeroes = len(arr) - zeroes
    if non_zeroes == 0:
        return float('inf')
    return zeroes / non_zeroes","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the ratio of zeroes to non-zeroes in an array of integers.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def find_zero_to_nonzero_ratio(arr):\\n    if not arr:\\n        return None\\n    zeroes = sum(1 for x in arr if x == 0)\\n    non_zeroes = len(arr) - zeroes\\n    if non_zeroes == 0:\\n        return float('inf')\\n    return zeroes / non_zeroes\""\n}""
  }
]","{
    ""code"": ""def find_zero_to_nonzero_ratio(arr):\n    if not arr:\n        return None\n    zeroes = sum(1 for x in arr if x == 0)\n    non_zeroes = len(arr) - zeroes\n    if non_zeroes == 0:\n        return float('inf')\n    return zeroes / non_zeroes""
}",137,Write a function to find the ratio of zeroes to non-zeroes in an array of integers.,Llama-3.3-70B-Instruct,,
"def can_be_represented_as_sum_of_powers_of_2(n: int) -> bool:
    if n == 0:
        return False
    binary = bin(n)[2:]
    return binary.count('1') == bin(n).count('1')","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def can_be_represented_as_sum_of_powers_of_2(n: int) -> bool:\\n    if n == 0:\\n        return False\\n    binary = bin(n)[2:]\\n    return binary.count('1') == bin(n).count('1')\""}""
  }
]","{""code"": ""def can_be_represented_as_sum_of_powers_of_2(n: int) -> bool:\n    if n == 0:\n        return False\n    binary = bin(n)[2:]\n    return binary.count('1') == bin(n).count('1')""}",138,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,Llama-3.3-70B-Instruct,,
"import math
def calculate_circumference(radius: float) -> float:
    if radius < 0:
        raise ValueError('Radius cannot be negative')
    return 2 * math.pi * radius","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find the circumference of a circle.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""import math\\ndef calculate_circumference(radius: float) -> float:\\n    if radius < 0:\\n        raise ValueError('Radius cannot be negative')\\n    return 2 * math.pi * radius\""\n}""
  }
]","{
    ""code"": ""import math\ndef calculate_circumference(radius: float) -> float:\n    if radius < 0:\n        raise ValueError('Radius cannot be negative')\n    return 2 * math.pi * radius""
}",139,Write a function to find the circumference of a circle.,Llama-3.3-70B-Instruct,,
"def flatten_list_of_lists(list_of_lists):
    result = set()
    for sublist in list_of_lists:
        if isinstance(sublist, list):
            result.update(flatten_list_of_lists(sublist))
        else:
            result.add(sublist)
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to flatten the list of lists into a single set of numbers.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def flatten_list_of_lists(list_of_lists):\\n    result = set()\\n    for sublist in list_of_lists:\\n        if isinstance(sublist, list):\\n            result.update(flatten_list_of_lists(sublist))\\n        else:\\n            result.add(sublist)\\n    return result\""\n}""
  }
]","{
    ""code"": ""def flatten_list_of_lists(list_of_lists):\n    result = set()\n    for sublist in list_of_lists:\n        if isinstance(sublist, list):\n            result.update(flatten_list_of_lists(sublist))\n        else:\n            result.add(sublist)\n    return result""
}",140,Write a function to flatten the list of lists into a single set of numbers.,Llama-3.3-70B-Instruct,,
"def sort_list(input_list):
    if not isinstance(input_list, list):
        raise TypeError('Input must be a list')
    return sorted(input_list)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to sort a list of elements.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def sort_list(input_list):\\n    if not isinstance(input_list, list):\\n        raise TypeError('Input must be a list')\\n    return sorted(input_list)\""\n}""
  }
]","{
    ""code"": ""def sort_list(input_list):\n    if not isinstance(input_list, list):\n        raise TypeError('Input must be a list')\n    return sorted(input_list)""
}",141,Write a function to sort a list of elements.,Llama-3.3-70B-Instruct,,
